Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	RMSE
CPCG0362	0.1505625606807234	0	0.03354135602158406	0.00745742754622117	0	0.32279145187584873	0	0	0	0	0	0.08815911901438202	0.0224661876108349	0.08697946570696008	0.02750072352746015	0.07010292049253589	0	0.07126570199950075	0.09968898575272007	0	0.01948409977122875	0	0.96	-0.0307	1.0937323896823474
CPCG0363	0.2294959231402625	0	0.04188848737885502	0	0	0.33035832288746386	0	0	0	0	0.029998186971904733	0.030108336620823035	0.033780932661320436	0.0001	0	0.13307552487395266	0	0.014125997781714516	0.15706384605807652	0	0	0	0.96	-0.0308	1.1048010804369668
CPCG0364	0.18787570014842553	0	0	0.0003	0	0.38793434195992343	0.07454075165239678	0	0	0	0.05586012292199416	0	0.039783864847564014	0.07768415085219597	0.03847735489856703	0.06439817684758518	0	0	0.052426521630743135	0	0.02076349198924737	0	0.99	-0.0343	1.1003358341938863
CPCG0365	0.14475674338945066	0	0	0	0	0.2160864625280823	0	0.018259163046758578	0.006362244662428413	0	0.033780202871864146	0	0.03838090622268375	0.24274256061335142	0.02741087047711236	0.07910444512850219	0	0	0.19311640105976619	0	0	0	0.99	-0.0359	1.0959562533027425
CPCG0366	0.13542953821406245	0	0.012656953260354074	0	0	0.35896294178731936	0	0	0.016931748579687465	0	0.11024483525365242	0	0.0670380040523633	0.08781690587641668	0.030551096231707132	0.0652973876432097	0	0.06672861103848843	0.03437607264509224	0	0.013965905417646788	0	0.96	-0.0302	1.0947513603353507
CPCG0368	0	0	0.009168460772417402	0	0.0004	0.3577261842491423	0	0	0.060608503967203214	0	0.054306465509254616	0	0.0996571945126636	0.09541539058756356	0.027410026539697055	0.16970326242940645	0	0.03397792585412575	0.0916667702562075	0	0	0	0.99	-0.0453	1.0959752659658728
CPCG0369	0.004332088721716943	0	0.012777187092212388	0.0026667007727841493	0	0.48341981616698004	0.004478697632282525	0	0	0	0	0.06570883216292116	0.10834261381083518	0.0930431808138214	0.048950058730468794	0.021354918304373714	0.008773612882378833	0	0.12610660351800196	0	0.02004568939122294	0	0.99	-0.0393	1.1078198243505504
CPCG0371	0.2393023428938187	0	0.03918041240293201	0.0885924941879764	0	0.14150216836378582	0.06811613418131489	0.0013038997794131302	0.005327453429368469	0	0	0.050155307855785015	0.09057287841785022	0.058959566916034004	0.03573479573369473	0.08462099953210266	0	0	0.09663154630592397	0	0	0	0.84	-0.0211	1.0935067814960087
CPCG0372	0.26027796402741316	0.043774354288501294	0	0	0	0.21040924917609455	0.00879902197288769	0	0.03658361187175106	0	0.040414932194748544	0	0	0.23414469359248535	0.010898173204023765	0.0777034022745997	0	0.0030231828697758452	0.07382678601432892	0	0	0.0001	0.7	-0.0099	1.104814063013452
CPCG0373	0.1141122518913006	0	0.016327190832353598	0	0	0.35154069738075655	0	0.0003	0	0	0.06650310315075036	0	0	0.08386723949954988	0.038030609221183405	0	0	0.004915709988890727	0.29851433693165136	0	0.025909926649594336	0	0.99	-0.0348	1.1079251022867909
CPCG0374	0.15027298730781846	0	0.0022311900989288383	0.032411244484158705	0	0.3235150443840334	0	0.0277159394425639	0	0	0	0.06929896537122594	0.021605310286926447	0	0.0235460591803923	0.2413845627437382	0	0.023995634496587287	0.06832799494326518	0	0.015695067260361344	0	0.75	-0.0159	1.0899956839858935
CPCG0375	0.15048128878895056	0	0	0.015536968077977829	0	0.31580955600872157	0	0	0.025503990704232395	0	0.1263827443516388	0	0	0.10049069382723143	0.10430602312428064	0.09734280666609288	0	0	0.023430543168404913	0.021874587255681886	0.018840798026787106	0	0.99	-0.0454	1.1107661877381354
CPCG0377	0.030786227826681993	0	0.01446666474858611	0	0.026609731886708347	0.4013904715433278	0	0	0	0	0.003202116277105595	0.03977687417492636	0.19058846037095867	0.037427554888592014	0.023290372791831094	0.098292182579167	0	0	0.13416934291211502	0	0	0	0.99	-0.0406	1.0973236117058727
CPCG0378	0.179190542808092	0	0	0	0	0.23510568601973583	0	0	0	0	0	0.09805233298113095	0	0.11246870949327448	0	0.2386857317450735	0	0.032756498276369055	0.10370963517623252	0	0	0	0.99	-0.0364	1.0972522726726133
CPCG0379	0.11485156398996778	0	0.013118492894386047	0	0	0.2601747523171603	0	0.0019192309311656267	0	0	0	0.05808232143275221	0.06602885631180887	0.0465141797945018	0.09634597387670636	0.06721553590256377	0.03109277615045062	0	0.20820220382016358	0	0.03645411257837306	0	0.99	-0.0357	1.0885045385745966
CPCG0380	0.015164951006263496	0	0.01025483654960224	0.066301091732364	0	0.3054793565003687	0	0	0.033722116399653355	0	0.012259547217961686	0.00570176496674247	0.13794842243845198	0.1950243351499322	0	0.020460317541619085	0	0.09357595221406981	0.07499831027729231	0	0.02910899800567866	0	0.91	-0.0252	1.0918091231257592
CPCG0381	0.24872901122387953	0	0.016216429890336677	0	0	0.34942629032372746	0	0	0	0	0.006412442725314001	0.0638611037723586	0.015892964222883693	0	0	0.16717040220779406	0	0.02443785036007667	0.10785350527362933	0	0	0	0.87	-0.0232	1.1051516222570403
CPCG0382	0.07069976606492458	0	0.0003	0.01383049527079081	0	0.3144818698148924	0	0	0.014361003699176627	0	0.011485939393248615	0.020105664629794427	0.07938306695063843	0.0788381743142938	0.04646913436196051	0.17125974024665824	0	0	0.15617502955186383	0	0.02265083513946125	0	0.99	-0.035	1.085187372080332
CPCG0387	0.20323041402262315	0	0	0.007367362177798932	0	0.22676961224648465	0.0222892937389609	0.008249431146371757	0.011217243243897584	0	0.0899325371908294	0	0.039573337194770325	0.11568833780831116	0.027660872869743905	0.07294122307837597	0	0.01031153751518646	0.16230616170927764	0	0.0024626360573681743	0	0.98	-0.0331	1.0895860299880666
CPCG0388	0.23718182868563933	0	0.0007	0	0	0.33333786030248513	0.014491697446904919	0	0	0	0	0.03379902429979211	0.028727046786284686	0	0.0616183792866687	0.16075603578476627	0	0	0.12554475118428027	0	0.0038268281118611423	0	0.99	-0.0352	1.1018151461888266
CPCG0391	0.1581974434630312	0	0.00387504128899776	0	0	0.327452748432979	0	0.025119536514135895	0	0	0	0.06412421659825304	0.12208415435746638	0.20047317825185176	0.025101957606336423	0	0	0.024584896237039935	0.048129396268866205	0	0	0.0009	0.89	-0.0247	1.0957270506351098
CPCG0392	0.13367024161904148	0	0.02989437657031253	0	0	0.2200268871125026	0.043774658394645345	0	0.023538599313700427	0	0.04461159101872278	0.002689382407019681	0.023532077104893454	0.09171420670139939	0.019975835815809105	0.18681310753307254	0	0.013707121458734131	0.16605191495014654	0	0	0	0.95	-0.0292	1.0799109648327252
CPCG0394	0.0484400927347881	0	0.014834713708847168	0	0	0.3289807153218469	0	0	0	0	0	0.10067178666630941	0	0	0.02206430002161168	0.3338504075268722	0	0.010910897585225723	0.14024708643449882	0	0	0	0.99	-0.035	1.0970431064047106
CPCG0395	0.017843579059460147	0	0.01580433545786615	0.06200181072313152	0	0.2528246761031943	0.014860850102465708	0	0.04931804556828239	0.002776004567739454	0	0.021969123326208206	0.09743510783693793	0.2473820328931267	0.06566607325568771	0.07759422826192704	0.01119442111475826	0	0.030450975006318284	0	0.03287873672289616	0	0.91	-0.0267	1.0977647147062048
CPCG0396	0.053701285653245924	0	0.0040924256005447	0.01730532787078516	0	0.3780954282423846	0	0	0	0	0.0424634103921569	0.015942008618584545	0.03705817120922624	0.015701490623470146	0	0.13114358644136687	0	0.07804276470078891	0.2058280831062212	0	0.0206260175412248	0	0.98	-0.032	1.0922849081219594
CPCG0397	0.11593299826998693	0	0.022968569827971123	0	0	0.30205460787912336	0	0.0007	0	0	0	0.04793044692042586	0	0.09675328885566267	0.04683788449639304	0.3239290353924154	0	0	0.04134391241165262	0	0.001506649118666813	0	0.99	-0.0349	1.098565265845696
CPCG0398	0.1805033796410238	0	0.04225004725233165	0	0	0.25512926581187767	0	0	0.046620692766279614	0	0.0606714131188077	0	0.034124644838511665	0.11775392779010838	0	0.1377457973324049	0	0.07314526448150484	0.04291222732272065	0	0.009143339644429115	0	0.75	-0.0161	1.0858552483504218
CPCG0401	0.105800904735815	0	0.17079817528782368	0.006699409663644424	0	0.42637689321780714	0.006348744407272448	0	0	0	0.09513011854032792	0	0	0.00847384489716304	0.016878589570409913	0.05090513585060714	0	0	0.10246957365764009	0	0.0101186101714892	0	0.99	-0.034	1.1302387433406003
CPCG0402	0.11533051776187715	0	0	0	0	0.2326145005436357	0	0	0.025556454238118878	0	0.05587043507001552	0	0	0.14249740009457396	0.06419819827969188	0.31471015803383634	0	0	0.048950044103162414	0	0.0003	0	0.95	-0.0287	1.0966083612905042
CPCG0404	0.009910068645175595	0	0.006332838739700414	0	0	0.29951178480203844	0	0	0.02626358091594398	0	0.09669246943292269	0.018278444326218446	0	0.016488271858945518	0.006804963335407934	0.25231925958581064	0	0.08843390842466135	0.1772989365781687	0	0.001665473355006301	0	0.99	-0.042	1.0949049482832782
CPCG0406	0.07399023468492115	0	0.19600765271923024	0.04851853824148898	0	0.20054824964229756	0	0	0.0004	0	0	0.025931409107129346	0	0.2703295593754794	0.047213400259609316	0.0687756003511153	0.0020492896688659376	0	0.06457625868202876	0	0.0016158366788576789	0	0.91	-0.0254	1.1210288138367244
CPCG0407	0.022395101543939533	0	0.030416846035545946	0.04820235773751842	0	0.30593538857407626	0	0	0	0	0.0001	0.055603345876793824	0.07535043796097261	0.11038442223997852	0.012331422970843728	0.05802962043718283	0.0167843840131337	0.042950693234101486	0.22148638601753523	0	0	0	0.99	-0.0461	1.094854178690063
CPCG0408	0.1566945758965089	0	0.026569748146655532	0	0	0.27108722207562996	0	0	0	0	0	0.10821361354583221	0	0.1028017211499949	0.0006	0.1734835623101748	0	0.02551450414440527	0.09541684143726162	0	0.039619027637144075	0	0.99	-0.0344	1.0949249156450198
CPCG0409	0.01287623656084154	0	0.01603449492709735	0	0	0.5180594039776428	0	0	0.00828046893628559	0	0.07162609584347543	0	0.058552367660258	0.09799687732336788	0	0.04165715046670182	0	0.08155360549106651	0.09336329881326311	0	0	0	0.98	-0.033	1.110664575690587
CPCG0410	0.19995413197629544	0	0.019435846977675187	0	0	0.3476951552049145	0.012364207068134778	0	0.0029400602808661524	0	0.0390151846628979	0.03495150936050784	0.03795161249052297	0.05083851618777539	0.07766775619081341	0.1027577401369177	0	0	0.03876913972790708	0	0.035659139734771625	0	0.99	-0.038	1.103801235752772
CPCG0411	0.19751432558845833	0	0.01754930260541421	0	0	0.35980009371828364	0.016213263479910516	0.029213208931205575	0.0422286283005751	0	0	0.03581814869987721	0.004159247694082447	0.08250833816704378	0.0893033350702725	0.1066336638281685	0	0	0.009012120875793537	0	0	0.010046323040914676	0.87	-0.0238	1.1092303537314117
CPCG0412	0	0	0.028177192093376775	0.03162489447787849	0	0.27068645257245877	0.030150579341276327	0	0	0	0	0.08115806394199525	0	0.11826871146673607	0.013936186378291854	0.16809768245878826	0	0.0009	0.25698617194216095	0	0	0	0.97	-0.0314	1.0984645855174808
